First Name,Last Name,Email,Professional Phone Number,Matricule,Position,Net Salary,Salary Grade,Contract End Date,Department,Service,Role,Status,Password,Remaining Leave Days,Monthly Leave Allocation,Receive SMS Notifications,Personal Phone Number,Work Start Time,Work End Time,Receive Email Notifications,Alternative Email,Date of Birth
Arvid O'Hara,Sally Ebert V,zshields@gmail.com,551.401.0384,48858145,Employee,50028,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,33,2.5,0,(980) 883-9808,08:00,17:00,1,,1988-05-01
Elyssa Rice PhD,Garnet Mosciski IV,jovan81@mills.com,1-820-414-8322,35248277,Employee,50029,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,34,2.5,1,1-802-958-2052,08:00,17:00,1,,1989-06-02
Serena Gutmann,Dr. Brent Grimes,sauer.silas@mills.com,+1-678-949-5372,10922479,Employee,50030,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,25,2.5,0,316.274.3622,08:00,17:00,1,,1990-07-03
Olen Davis,Fanny Considine II,camille67@yahoo.com,678.597.1344,39949877,Employee,50031,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,26,2.5,1,+17025022256,08:00,17:00,1,,1991-08-04
Emilia Gleason IV,Lucienne Cronin,douglas.ofelia@gmail.com,564-867-0920,28221843,Employee,50032,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,27,2.5,0,+1-812-915-4783,08:00,17:00,1,,1992-09-05
Leone Miller,Darius Purdy,lydia.brakus@hotmail.com,+1.785.341.6013,64393116,Employee,50033,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,28,2.5,1,(570) 403-4868,08:00,17:00,1,,1993-10-06
Katelin Rice,Dr. Magnus Kunde,christiansen.eldred@hotmail.com,+1.831.577.6657,29916669,Employee,50034,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,29,2.5,0,(510) 720-8136,08:00,17:00,1,,1994-11-07
Thad Emard PhD,Avery Schneider,awolff@torphy.com,+1-314-927-1216,74903938,Employee,50035,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,30,2.5,1,(386) 557-6539,08:00,17:00,1,,1995-12-08
Vincenzo Parisian,Viva Rau,dolly28@gmail.com,458.536.3626,88347417,Employee,50036,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,31,2.5,0,678-982-5472,08:00,17:00,1,,1996-01-09
Harley Schaefer,Meredith Satterfield,lwilliamson@hotmail.com,+1-434-524-8021,43997899,Employee,50037,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,32,2.5,1,(938) 225-3184,08:00,17:00,1,,1997-02-10
Camryn Goodwin,Jordon Yost,kutch.cayla@hotmail.com,+1.978.820.2452,60971067,Employee,50038,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,33,2.5,0,+1-662-342-4815,08:00,17:00,1,,1998-03-11
Autumn Durgan,Nick Collier,tyson83@pouros.biz,848-610-4810,21943831,Employee,50039,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,34,2.5,1,781.278.9454,08:00,17:00,1,,1999-04-12
Delphine Douglas,Miss Sarah Pouros IV,guido62@kulas.com,781-914-4070,35751082,Employee,50040,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,25,2.5,0,+1.253.470.4354,08:00,17:00,1,,1980-05-13
Alejandra Goodwin,Mrs. Laurianne Reilly,rhett06@feeney.com,857.327.0723,75896338,Employee,50041,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,26,2.5,1,+1.337.803.6383,08:00,17:00,1,,1981-06-14
Ralph Hagenes,Lane Farrell,zemlak.agnes@lowe.com,+1.470.455.9424,84519519,Employee,50042,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,27,2.5,0,(475) 768-3617,08:00,17:00,1,,1982-07-15
Brenden Breitenberg DVM,Vincenzo Effertz,dblick@hotmail.com,317-704-6763,83795692,Employee,50043,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,28,2.5,1,856-901-0918,08:00,17:00,1,,1983-08-16
Otho Boyer,Axel Douglas,tmills@hotmail.com,1-712-398-9078,79262010,Employee,50044,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,29,2.5,0,1-907-632-6018,08:00,17:00,1,,1984-09-17
Alvera Quitzon,Ms. Magdalen Beer Jr.,destiney.shields@gmail.com,678.362.9226,48186776,Employee,50045,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,30,2.5,1,954-551-9767,08:00,17:00,1,,1985-10-18
Jerrold Bahringer,Mr. Isidro Lind DDS,jeromy.wisozk@kreiger.org,+13417490667,25834841,Employee,50046,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,31,2.5,0,(878) 808-6832,08:00,17:00,1,,1986-11-19
Naomie Collier,Uriah Bogan,meaghan78@gmail.com,781-816-0859,43671612,Employee,50047,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,32,2.5,1,1-240-623-6171,08:00,17:00,1,,1987-12-20
Karine Wilkinson DVM,Orie Stroman,newton.rau@gmail.com,+1-214-504-3387,64241224,Employee,50048,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,33,2.5,0,1-816-791-2759,08:00,17:00,1,,1988-01-21
Zachery Quitzon,Robbie Kerluke,rrempel@stoltenberg.com,+1-689-973-2598,57135019,Employee,50049,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,34,2.5,1,1-201-239-1925,08:00,17:00,1,,1989-02-22
Claud Will,Miss Mittie Hessel,lisa.zboncak@yahoo.com,1-681-203-4894,4885852,Employee,50050,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,25,2.5,0,(270) 425-7792,08:00,17:00,1,,1990-03-23
Meaghan Reinger V,Israel DuBuque,nikolaus.adeline@hotmail.com,913.732.0183,39640703,Employee,50051,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,26,2.5,1,228.268.4656,08:00,17:00,1,,1991-04-24
Helene Bode,Xander Will,margaretta92@osinski.net,+16679034406,14166627,Employee,50052,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,27,2.5,0,+1-320-249-6446,08:00,17:00,1,,1992-05-25
Genevieve Rath,Mr. Tre Dickens,dessie.watsica@yahoo.com,+1.209.406.1062,11722723,Employee,50053,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,28,2.5,1,(409) 298-9771,08:00,17:00,1,,1993-06-26
Ayden Lemke,Alan Swift,brolfson@blick.com,423.847.9331,25988726,Employee,50054,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,29,2.5,0,+1-585-693-3493,08:00,17:00,1,,1994-07-27
Federico Armstrong,Lonnie Cole II,aiden.russel@yahoo.com,(810) 744-3256,50381481,Employee,50055,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,30,2.5,1,+1-860-250-1709,08:00,17:00,1,,1995-08-28
Halie Kshlerin,Haley Johnson,kamren.bernier@yahoo.com,+16612472563,25531417,Employee,50056,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,31,2.5,0,(240) 433-1414,08:00,17:00,1,,1996-09-01
Rick Batz,Florine Sanford,streich.isabelle@yahoo.com,669-836-6076,80290228,Employee,50057,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,32,2.5,1,1-920-322-5807,08:00,17:00,1,,1997-10-02
Billy Maggio I,Nicole Lang V,nbergnaum@yahoo.com,(570) 541-9418,6717624,Employee,50058,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,33,2.5,0,+14632039841,08:00,17:00,1,,1998-11-03
Raquel Schmeler,Esther Crist II,peggie78@gmail.com,+16419152439,67965224,Employee,50059,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,34,2.5,1,803-640-8466,08:00,17:00,1,,1999-12-04
Nelle Krajcik IV,Pete Gleason Jr.,graham.alexanne@gmail.com,770.562.2532,38819922,Employee,50060,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,25,2.5,0,(669) 452-5345,08:00,17:00,1,,1980-01-05
Preston Tromp,Dr. Rory Hegmann,auer.maryam@yahoo.com,+1 (808) 838-0515,39274073,Employee,50061,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,26,2.5,1,1-364-730-4160,08:00,17:00,1,,1981-02-06
Alanis Casper,Rosalyn Kshlerin,doris76@hotmail.com,(678) 820-7209,81851601,Employee,50062,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,27,2.5,0,+1.463.332.5429,08:00,17:00,1,,1982-03-07
Nash Johnson,Prof. Jovanny Wilderman Sr.,oswald18@yahoo.com,+1 (256) 615-3070,55763361,Employee,50063,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,28,2.5,1,1-947-305-2164,08:00,17:00,1,,1983-04-08
Erika Lemke,Jay Volkman,sgibson@yahoo.com,+1 (336) 853-7336,39179880,Employee,50064,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,29,2.5,0,(202) 957-1392,08:00,17:00,1,,1984-05-09
Art Runolfsson,Lupe Batz,mante.bettie@hotmail.com,283-740-1099,49901387,Employee,50065,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,30,2.5,1,442.941.9396,08:00,17:00,1,,1985-06-10
Penelope Morar,Prof. Owen Simonis,aaron.walsh@lehner.com,+1-520-944-0214,38556481,Employee,50066,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,31,2.5,0,754.490.2692,08:00,17:00,1,,1986-07-11
Ruben Gutkowski,Mr. Stewart Daugherty DVM,kmclaughlin@strosin.com,+1-603-528-6568,23276423,Employee,50067,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,32,2.5,1,+18323074384,08:00,17:00,1,,1987-08-12
Dave Nitzsche,Leslie Carter,ratke.alanna@sporer.biz,(838) 798-0236,29026310,Employee,50068,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,33,2.5,0,262-421-8824,08:00,17:00,1,,1988-09-13
Horace Corwin,Irving Frami I,jovany.hill@champlin.com,+15402548290,41023781,Employee,50069,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,34,2.5,1,607-323-6342,08:00,17:00,1,,1989-10-14
Agnes Mosciski,Prof. Kelvin Jacobs MD,wava.mcglynn@kreiger.com,+1.585.295.4251,28172348,Employee,50070,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,25,2.5,0,+16787127714,08:00,17:00,1,,1990-11-15
Ila Graham,Miss Sally Oberbrunner,jana.trantow@hotmail.com,+19805146413,5604552,Employee,50071,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,26,2.5,1,212.388.1837,08:00,17:00,1,,1991-12-16
Dessie Grady,Mae Aufderhar,eloy38@kertzmann.com,(608) 594-2357,49181621,Employee,50072,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,27,2.5,0,+1 (458) 652-5212,08:00,17:00,1,,1992-01-17
Paula Wolf,Tina McLaughlin MD,lorena.block@hotmail.com,+1-715-360-4856,24673344,Employee,50073,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,28,2.5,1,+19803543053,08:00,17:00,1,,1993-02-18
Roberta Abbott,Dr. Nolan Jerde,nlangworth@hotmail.com,+1.220.399.3742,90839305,Employee,50074,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,29,2.5,0,785.392.5491,08:00,17:00,1,,1994-03-19
Urban Cronin,Ross Kuhic,price.braeden@gmail.com,(949) 764-5861,54458627,Employee,50075,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,30,2.5,1,1-352-622-4607,08:00,17:00,1,,1995-04-20
Brittany Kemmer,Kody Upton,maximillia10@hoeger.net,+1 (347) 252-4893,46685919,Employee,50076,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,31,2.5,0,+1-479-495-5721,08:00,17:00,1,,1996-05-21
Caesar Hane,Estella Kessler,royal43@hane.com,978.798.1016,76549797,Employee,50077,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,32,2.5,1,351-417-6571,08:00,17:00,1,,1997-06-22
Giles Becker,Dean Frami,ohara.layla@yahoo.com,1-575-278-0667,14104748,Employee,50078,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,33,2.5,0,+15053889325,08:00,17:00,1,,1998-07-23
Zelda Kshlerin,Leanna Lind,aemard@yahoo.com,(602) 215-9795,26109812,Employee,50079,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,34,2.5,1,+1 (575) 228-2897,08:00,17:00,1,,1999-08-24
Marquis Schimmel,Miss Nadia Dicki DVM,schiller.tracy@hotmail.com,228-647-4723,69960505,Employee,50080,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,25,2.5,0,1-803-238-1741,08:00,17:00,1,,1980-09-25
Dayana Haag,Eli Jacobi,gerard48@fisher.com,+1-847-857-8992,30222205,Employee,50081,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,26,2.5,1,463.724.6174,08:00,17:00,1,,1981-10-26
Russ Satterfield,Mrs. Lois Walker,vandervort.jarvis@gmail.com,+1 (408) 623-1221,99422542,Employee,50082,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,27,2.5,0,+1-563-499-4892,08:00,17:00,1,,1982-11-27
Cathryn Brown,Mr. Waldo O'Reilly,osinski.zelda@quigley.org,+1-831-885-6791,95194546,Employee,50083,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,28,2.5,1,+1 (909) 393-0169,08:00,17:00,1,,1983-12-28
Wilfredo Anderson,Vena Grimes,jmckenzie@gmail.com,+1-408-699-4605,9589547,Employee,50084,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,29,2.5,0,(979) 228-1741,08:00,17:00,1,,1984-01-01
Devonte Dicki,Brayan Schulist,marshall56@mitchell.biz,+1-272-885-1779,2227448,Employee,50085,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,30,2.5,1,+1 (253) 759-9107,08:00,17:00,1,,1985-02-02
Paxton Lindgren,Mr. Caleb Armstrong,nicole.purdy@rempel.biz,(802) 321-3660,47742639,Employee,50086,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,31,2.5,0,+16088315155,08:00,17:00,1,,1986-03-03
Millie Bartell,Olen Kulas DVM,stark.godfrey@gmail.com,+1.680.933.2661,38529183,Employee,50087,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,32,2.5,1,1-757-692-8143,08:00,17:00,1,,1987-04-04
Hulda Cummings,Dr. Ubaldo Metz V,daniella.howell@heaney.com,(515) 582-7098,74106862,Employee,50088,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,33,2.5,0,+12536992242,08:00,17:00,1,,1988-05-05
Sammie Tremblay,Ona Torphy,kmertz@larson.com,239.414.9497,20834316,Employee,50089,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,34,2.5,1,617.453.6463,08:00,17:00,1,,1989-06-06
Toby Hoeger,Eliezer Volkman,bode.joaquin@gmail.com,1-681-389-3830,92855590,Employee,50090,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,25,2.5,0,734-777-1882,08:00,17:00,1,,1990-07-07
Damian Franecki,Jennyfer Hand,moore.velma@yahoo.com,(724) 519-7761,22280802,Employee,50091,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,26,2.5,1,1-352-461-7612,08:00,17:00,1,,1991-08-08
Alverta Dietrich Jr.,Mr. Clinton Smith PhD,jazmyne.rippin@thompson.com,938.543.2815,39314902,Employee,50092,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,27,2.5,0,934.636.3981,08:00,17:00,1,,1992-09-09
Richard Rodriguez,Wilhelm Stark,ellen.walsh@leuschke.org,+18702556205,38675896,Employee,50093,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,28,2.5,1,1-757-860-8486,08:00,17:00,1,,1993-10-10
Mittie Flatley Sr.,Alycia Hagenes,isatterfield@schmeler.com,+1.310.495.7722,86378255,Employee,50094,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,29,2.5,0,+1-480-405-6441,08:00,17:00,1,,1994-11-11
Reid Goodwin,Jerel Yost,leannon.felipa@wunsch.net,(248) 379-2290,52913590,Employee,50095,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,30,2.5,1,240.822.2712,08:00,17:00,1,,1995-12-12
Mabel Reilly,Mr. Kaleb Schultz,sarah25@hotmail.com,+1 (563) 620-6308,27578350,Employee,50096,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,31,2.5,0,669.361.6003,08:00,17:00,1,,1996-01-13
Blake Hyatt,Mitchel Barton DVM,rey14@yahoo.com,+12285396740,56358976,Employee,50097,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,32,2.5,1,(351) 655-8295,08:00,17:00,1,,1997-02-14
River Kuvalis I,Raul Emard,tbayer@bayer.com,712.975.0180,2214519,Employee,50098,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,33,2.5,0,(605) 731-2119,08:00,17:00,1,,1998-03-15
Theodore Nicolas,Claud Deckow,hadley58@gmail.com,+1 (220) 743-8151,35544293,Employee,50099,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,34,2.5,1,1-678-256-6377,08:00,17:00,1,,1999-04-16
Winston Emmerich I,Mrs. Summer Wolf Jr.,camron.howell@gmail.com,+1-931-876-3833,29724151,Employee,50100,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,25,2.5,0,+1.678.978.4585,08:00,17:00,1,,1980-05-17
Kayden Marquardt,Prof. Tara Barton,walsh.emmie@ebert.org,1-551-670-9178,32640080,Employee,50101,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,26,2.5,1,865-224-0171,08:00,17:00,1,,1981-06-18
Vesta Blanda IV,Prof. Fabiola Howell,lilian54@hartmann.com,+1-319-480-2993,83666328,Employee,50102,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,27,2.5,0,551-629-6703,08:00,17:00,1,,1982-07-19
Chester Pfannerstill I,Audra Donnelly,roderick.turner@gmail.com,+14433861276,60575219,Employee,50103,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,28,2.5,1,843-544-5014,08:00,17:00,1,,1983-08-20
Martin Willms,Dr. Lottie Donnelly V,skerluke@hotmail.com,(817) 637-6293,98050247,Employee,50104,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,29,2.5,0,+14236831227,08:00,17:00,1,,1984-09-21
Arnoldo Mayert,Kenyon Boyer I,ryan.geovany@paucek.com,+1.754.747.9285,84734707,Employee,50105,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,30,2.5,1,+1-458-900-0948,08:00,17:00,1,,1985-10-22
Karina Flatley,Marcelina Crona,cruickshank.ole@hotmail.com,+13258915249,39523526,Employee,50106,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,31,2.5,0,1-820-549-5326,08:00,17:00,1,,1986-11-23
Hazle Tillman,Gloria Brown PhD,nikki.boyer@gmail.com,(740) 221-9407,65396241,Employee,50107,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,32,2.5,1,+1-765-444-9985,08:00,17:00,1,,1987-12-24
Kristina Kemmer,Doris Mann,mkrajcik@weimann.com,505-903-1839,42897076,Employee,50108,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,33,2.5,0,(641) 658-0609,08:00,17:00,1,,1988-01-25
Estel Waters,Prof. Elna Emmerich,isabel20@johnson.biz,1-469-936-3915,66599375,Employee,50109,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,34,2.5,1,731-897-5202,08:00,17:00,1,,1989-02-26
Hal Nolan,Mae Monahan,modesta.grady@yahoo.com,1-769-548-2329,50964525,Employee,50110,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,25,2.5,0,864.577.7257,08:00,17:00,1,,1990-03-27
Daniela King I,Kaya Johnson,gskiles@sanford.com,410.627.3275,95613577,Employee,50111,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,26,2.5,1,+13522427429,08:00,17:00,1,,1991-04-28
Bernardo Labadie,Pascale Jacobson,jennie.hansen@price.com,772-662-9900,67846246,Employee,50112,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,27,2.5,0,504.625.7271,08:00,17:00,1,,1992-05-01
Jewel Gutmann,Florine Emard,wkulas@yahoo.com,(667) 828-6788,97658750,Employee,50113,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,28,2.5,1,+1-724-829-2299,08:00,17:00,1,,1993-06-02
Cortney Goyette,Caesar Heaney,braxton.willms@yahoo.com,+1-838-281-6789,80456797,Employee,50114,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,29,2.5,0,1-228-300-8835,08:00,17:00,1,,1994-07-03
Lois Volkman,Dr. Donato Schulist,fredrick.hauck@roob.org,+1-213-367-0732,19133372,Employee,50115,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,30,2.5,1,480-609-9498,08:00,17:00,1,,1995-08-04
Jackson Frami,Erika Homenick,wilton.witting@langosh.com,(785) 235-7210,64587822,Employee,50116,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,31,2.5,0,+1.662.278.9507,08:00,17:00,1,,1996-09-05
